# duration chart:
#     1/4 note = 480 ticks (8mm)
#     1/8 note = 240 ticks (4mm)
#    1/32 note =  60 ticks (1mm)


# 1
0 72  // C (5)
0 60  // C (4)

30 79  // G (5)

60 84  // C (6)

120 88  // E (6)

480 76  // E (5)

960 79  // G (5)
960 55  // G (3)

990 83  // B (5)

1020 86  // D (6)

1440 77  // F (5)

# 2
1920 76  // E (5)
1920 69  // A (4)

1950 81  // A (5)

1980 84  // C (6)

2400 72  // C (5)

2880 76  // E (5)
2880 64  // E (4)

2910 79  // G (5)

2940 83  // B (5)

3600 74  // D (5)

# 3
3840 72  // C (5)
3840 53  // F (3)

3870 77  // F (5)

3900 81  // A (5)

4320 93  // A (6)
4320 69  // A (4)

4800 72  // C (5)
4800 60  // C (4)

4830 76  // E (5)

4860 79  // G (5)

4920 91  // G (6)

5280 76  // E (5)

# 4
5760 77  // F (5)
5760 53  // F (3)

5790 81  // A (5)

5820 93  // A (6)

6240 81  // A (5)

6720 79  // G (5)
6720 55  // G (3)

6750 83  // B (5)

6780 86  // D (6)

6840 91  // G (6)

7440 89  // F (6)
7440 77  // F (5)

# 5
7680 60  // C (4)

7710 64  // E (4)

7740 67  // G (4)

7770 72  // C (5)

7800 76  // E (5)

7830 79  // G (5)

7860 84  // C (6)

7890 88  // E (6)

