# duration chart:
#     1/4 note = 480 ticks (8mm)
#     1/8 note = 240 ticks (4mm)
#    1/32 note =  60 ticks (1mm)


# 1
0 60  // C (4)

480 79  // G (5)
480 64  // E (4)

720 88  // E (6)
720 72  // C (5)

1200 71  // B (4)

1440 79  // G (5)
1440 67  // G (4)

1680 64  // E (4)

# 2
1920 81  // A (5)
1920 53  // F (3)

2160 84  // C (6)
2160 60  // C (4)

2400 65  // F (4)

2640 69  // A (4)

2880 67  // G (4)

3120 93  // A (6)
3120 65  // F (4)

3360 64  // E (4)

3600 93  // A (6)
3600 62  // D (4)

# 3
3840 91  // G (6)
3840 60  // C (4)

4320 79  // G (5)
4320 64  // E (4)

4560 88  // E (6)
4560 72  // C (5)

5040 71  // B (4)

5280 79  // G (5)
5280 67  // G (4)

5520 64  // E (4)

# 4
5760 81  // A (5)
5760 53  // F (3)

6000 84  // C (6)
6000 60  // C (4)

6240 65  // F (4)

6480 89  // F (6)
6480 69  // A (4)

6720 67  // G (4)

6960 65  // F (4)

7200 77  // F (5)
7200 64  // E (4)

7440 62  // D (4)

# 5
7680 76  // E (5)
7680 69  // A (4)
7680 60  // C (4)

8160 81  // A (5)
8160 64  // E (4)

8400 71  // B (4)

8640 84  // C (6)

8880 72  // C (5)

9120 69  // A (4)

9360 64  // E (4)

# 6
9600 88  // E (6)
9600 62  // D (4)

9840 86  // D (6)

10080 84  // C (6)
10080 69  // A (4)

10320 86  // D (6)
10320 72  // C (5)

10800 71  // B (4)

11040 69  // A (4)

11280 71  // B (4)

# 7
11520 69  // A (4)
11520 60  // C (4)

12000 81  // A (5)
12000 64  // E (4)

12240 71  // B (4)

12480 84  // C (6)

12720 72  // C (5)

12960 84  // C (6)
12960 69  // A (4)

13200 81  // A (5)
13200 64  // E (4)

# 8
13440 88  // E (6)
13440 55  // G (3)

13680 86  // D (6)

13920 84  // C (6)
13920 65  // F (4)

14160 86  // D (6)

14640 88  // E (6)
14640 67  // G (4)

14880 86  // D (6)
14880 62  // D (4)

15120 55  // G (3)

# 9
15360 84  // C (6)
15360 60  // C (4)

15390 64  // E (4)

15420 67  // G (4)

15450 72  // C (5)

15480 76  // E (5)

15510 79  // G (5)

15540 88  // E (6)

15570 91  // G (6)

